Machine Name,Policy Target,Subcategory,Subcategory GUID,Inclusion Setting,Exclusion Setting
CLI-CKORKMAZ,System,GÅvenlik Sistemi Uzantçsç,{0CCE9211-69AE-11D9-BED3-505054503030},No Auditing,
CLI-CKORKMAZ,System,Sistem BÅtÅnlÅßÅ,{0CCE9212-69AE-11D9-BED3-505054503030},No Auditing,
CLI-CKORKMAZ,System,IPsec SÅrÅcÅsÅ,{0CCE9213-69AE-11D9-BED3-505054503030},No Auditing,
CLI-CKORKMAZ,System,Dißer Sistem Olaylarç,{0CCE9214-69AE-11D9-BED3-505054503030},No Auditing,
CLI-CKORKMAZ,System,GÅvenlik Durumu Deßiüiklißi,{0CCE9210-69AE-11D9-BED3-505054503030},No Auditing,
CLI-CKORKMAZ,System,Oturum Aá,{0CCE9215-69AE-11D9-BED3-505054503030},Success and Failure,
CLI-CKORKMAZ,System,Oturumu Kapat,{0CCE9216-69AE-11D9-BED3-505054503030},Success and Failure,
CLI-CKORKMAZ,System,Hesap Kilitleme,{0CCE9217-69AE-11D9-BED3-505054503030},No Auditing,
CLI-CKORKMAZ,System,IPsec Ana Modu,{0CCE9218-69AE-11D9-BED3-505054503030},No Auditing,
CLI-CKORKMAZ,System,IPsec Hçzlç Modu,{0CCE9219-69AE-11D9-BED3-505054503030},No Auditing,
CLI-CKORKMAZ,System,IPsec Geniületilmiü Modu,{0CCE921A-69AE-11D9-BED3-505054503030},No Auditing,
CLI-CKORKMAZ,System,ôzel Oturum Aáma,{0CCE921B-69AE-11D9-BED3-505054503030},No Auditing,
CLI-CKORKMAZ,System,Dißer Oturum Aáma/Kapatma Olaylarç,{0CCE921C-69AE-11D9-BED3-505054503030},Success and Failure,
CLI-CKORKMAZ,System,Aß òlkesi Sunucusu,{0CCE9243-69AE-11D9-BED3-505054503030},No Auditing,
CLI-CKORKMAZ,System,Kullançcç/Aygçt Talepleri,{0CCE9247-69AE-11D9-BED3-505054503030},No Auditing,
CLI-CKORKMAZ,System,Grup öyeli,{0CCE9249-69AE-11D9-BED3-505054503030},No Auditing,
CLI-CKORKMAZ,System,Eriüim Haklarç,{0CCE924B-69AE-11D9-BED3-505054503030},No Auditing,
CLI-CKORKMAZ,System,Dosya Sistemi,{0CCE921D-69AE-11D9-BED3-505054503030},No Auditing,
CLI-CKORKMAZ,System,Kayçt Defteri,{0CCE921E-69AE-11D9-BED3-505054503030},No Auditing,
CLI-CKORKMAZ,System,Äekirdek Nesnesi,{0CCE921F-69AE-11D9-BED3-505054503030},No Auditing,
